2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over in employment the week before the census,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over
Leeds 100E,E01011639,646,60,90,176,49,15,6,6,6
Leeds 101A,E01011491,575,55,125,145,37,14,2,5,5
Leeds 101B,E01011492,663,48,146,188,41,12,9,3,8
Leeds 101C,E01011493,669,57,180,142,52,12,2,2,4
Leeds 101D,E01011494,705,58,133,167,50,11,6,3,8
Leeds 101E,E01011497,650,48,160,194,39,7,0,11,11
Leeds 102B,E01011540,955,88,119,219,78,18,12,7,1
Leeds 102F,E01032489,1275,143,130,252,91,16,6,8,14
Leeds 102G,E01032490,789,61,82,154,69,13,1,9,11
Leeds 102H,E01032491,669,63,77,134,49,20,7,8,8
Leeds 102I,E01032492,1122,169,124,233,79,22,11,7,10
Leeds 103A,E01011307,715,50,57,99,160,39,5,0,7
Leeds 103B,E01011308,724,36,89,107,158,42,13,2,5
Leeds 103C,E01011393,1177,30,78,162,234,41,20,5,15
Leeds 103D,E01011394,548,23,38,66,100,27,10,4,4
Leeds 103E,E01011395,633,15,39,97,119,34,10,4,7
Leeds 104A,E01011533,743,92,63,147,60,9,5,4,8
Leeds 104B,E01011541,1025,150,71,216,74,16,5,10,5
Leeds 104C,E01011545,720,117,64,131,55,12,5,6,9
Leeds 104D,E01011547,1048,122,102,231,94,24,8,7,12
Leeds 105D,E01011500,753,32,83,175,71,23,11,2,4
Leeds 105F,E01032496,1209,30,130,281,101,25,20,7,15
Leeds 105G,E01035050,866,27,116,211,63,23,3,5,5
Leeds 105H,E01035051,973,23,119,220,94,34,1,5,6
Leeds 105I,E01035052,772,24,95,176,62,23,9,4,13
Leeds 105J,E01035053,987,42,119,201,91,18,11,3,8
Leeds 106A,E01011530,699,101,49,123,53,13,3,0,3
Leeds 106B,E01011534,1341,128,89,305,125,27,8,11,7
Leeds 106C,E01011546,842,124,73,190,71,16,5,5,13
Leeds 106D,E01011548,702,35,91,127,86,12,9,0,5
Leeds 106E,E01011550,731,56,81,159,59,8,4,5,8
Leeds 107A,E01011537,965,64,105,209,115,21,12,6,13
Leeds 107B,E01011538,731,26,106,160,78,18,8,3,8
Leeds 107C,E01011551,1012,54,111,212,116,20,14,11,22
Leeds 107D,E01011552,646,37,104,150,56,10,8,2,9
Leeds 108A,E01011535,823,18,84,153,97,14,4,10,11
Leeds 108B,E01011536,843,18,117,162,101,10,2,5,8
Leeds 108C,E01011549,817,23,90,160,83,16,6,4,9
Leeds 108D,E01011553,722,22,97,152,60,18,4,2,5
Leeds 109A,E01011685,1125,44,157,152,111,23,8,9,16
Leeds 109B,E01011687,720,34,89,102,62,13,8,5,3
Leeds 109C,E01011690,697,38,124,54,59,9,4,7,7
Leeds 109D,E01011692,856,50,171,49,53,8,8,5,3
Leeds 109E,E01011693,1026,56,232,58,66,13,7,1,9
Leeds 109F,E01011694,957,48,197,68,85,11,17,1,18
Leeds 109G,E01032876,823,22,101,123,70,14,6,14,16
Leeds 110A,E01011442,613,87,134,44,27,5,4,4,50
Leeds 110B,E01011443,776,100,143,47,51,12,7,6,36
Leeds 110C,E01011444,535,87,104,38,21,9,4,5,30
Leeds 110D,E01011451,625,49,122,39,30,11,1,5,13
Leeds 110E,E01011668,650,110,142,38,32,23,4,4,33
Leeds 110F,E01011669,613,92,127,45,37,4,7,7,16
Leeds 110G,E01032946,990,104,202,58,63,19,6,13,47
Leeds 111A,E01033008,627,149,42,27,19,7,3,19,44
Leeds 111B,E01033010,782,214,52,38,34,26,10,9,60
Leeds 111C,E01033011,925,234,38,24,42,19,6,4,11
Leeds 111D,E01033015,1187,220,79,33,56,22,4,4,15
Leeds 111E,E01033016,789,148,53,21,53,33,3,6,14
Leeds 112A,E01011467,938,127,188,71,63,16,18,6,12
Leeds 112B,E01011468,933,123,205,80,49,26,7,6,13
Leeds 112C,E01011470,605,102,149,70,40,6,6,4,3
Leeds 112F,E01035054,1961,397,137,76,97,49,14,5,22
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,"In order to protect against disclosure of personal information, records",,,,,,,,,
,have been swapped between different geographic areas and counts perturbed,,,,,,,,,
,by small amounts. Small counts at the lowest geographies will be most,,,,,,,,,
,affected.,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Census 2021 took place during a period of rapid change. We gave extra,,,,,,,,,
,guidance,,,,,,,,,
,"to help people on furlough answer the census questions about work. However,",,,,,,,,,
,we,,,,,,,,,
,are unable to determine how furloughed people followed the guidance. Take,,,,,,,,,
,care,,,,,,,,,
,when using this data for planning purposes. Read more about specific,,,,,,,,,
,quality,,,,,,,,,
,considerations in our,,,,,,,,,
,,,,,,,,,,
,https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/methodologies/traveltoworkqualityinformationforcensus2021,,,,,,,,,
