2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over in employment the week before the census,Less than 2km,2km to less than 5km,5km to less than 10km,10km to less than 20km,20km to less than 30km,30km to less than 40km,40km to less than 60km,60km and over
Leeds 024A,E01011508,726,42,104,109,55,10,6,3,4
Leeds 024B,E01011517,869,80,151,59,98,9,9,1,8
Leeds 024C,E01011652,733,42,94,105,83,9,4,6,5
Leeds 024D,E01011654,724,36,107,58,81,16,9,4,10
Leeds 025A,E01011505,762,55,124,99,68,8,7,5,4
Leeds 025B,E01011506,724,46,152,66,45,15,6,3,7
Leeds 025C,E01011507,884,67,150,74,72,12,8,8,7
Leeds 025D,E01011510,510,62,74,87,53,9,5,0,4
Leeds 025E,E01011514,909,58,142,103,58,10,12,1,10
Leeds 027A,E01011452,841,40,62,171,58,19,6,6,9
Leeds 027B,E01011454,904,52,64,160,67,18,5,6,3
Leeds 027C,E01011457,795,30,84,129,117,16,1,7,5
Leeds 027D,E01011458,1412,45,127,215,144,46,3,7,8
Leeds 027E,E01011465,884,62,54,206,52,14,4,5,5
Leeds 028A,E01011453,790,40,52,151,65,15,4,4,6
Leeds 028B,E01011460,759,60,47,149,61,15,5,4,3
Leeds 028C,E01011462,813,75,85,164,69,14,4,3,5
Leeds 028D,E01011463,726,94,66,141,56,12,1,4,4
Leeds 028E,E01011464,1122,80,70,229,100,22,8,7,6
Leeds 029A,E01011714,937,38,60,184,115,35,6,6,10
Leeds 029B,E01011716,737,27,85,109,84,10,7,3,9
Leeds 029C,E01011717,753,54,66,159,109,20,7,3,8
Leeds 029D,E01011718,973,67,83,202,116,45,12,5,9
Leeds 029E,E01011720,651,68,94,142,76,9,4,2,8
Leeds 030A,E01011296,676,10,49,69,123,30,4,2,3
Leeds 030B,E01011297,886,17,37,70,185,55,14,7,8
Leeds 030C,E01011309,722,13,31,67,146,36,14,2,9
Leeds 030D,E01011310,755,10,29,121,133,37,7,3,10
Leeds 031A,E01011513,1234,69,196,101,99,17,15,11,14
Leeds 031B,E01011688,807,60,152,71,39,12,10,3,6
Leeds 031C,E01011689,890,69,185,99,58,12,5,1,6
Leeds 031D,E01011691,753,77,156,79,53,7,7,1,4
Leeds 032A,E01011504,660,77,134,60,40,15,4,1,5
Leeds 032B,E01011641,808,54,140,37,49,7,5,5,4
Leeds 032C,E01011642,671,51,95,45,55,6,10,2,5
Leeds 032D,E01011645,781,49,143,48,68,7,11,3,7
Leeds 033A,E01011484,614,57,122,128,44,9,3,0,10
Leeds 033B,E01011485,691,47,117,129,54,8,1,5,6
Leeds 033E,E01011686,628,47,87,138,62,10,3,4,6
Leeds 033F,E01032493,791,28,116,137,54,21,2,5,3
Leeds 033G,E01032494,848,78,119,223,52,14,7,8,7
Leeds 034A,E01011350,858,52,152,65,61,11,7,1,7
Leeds 034B,E01011351,1057,54,181,61,78,28,15,14,10
Leeds 034C,E01011352,1193,74,245,62,99,18,11,6,4
